name,SG2_AR0233C_5200_G2A_H100F1A_01
focalLength,3.549999952316284
focusDistance,270.0
fStop,1.600000023841858
projection,perspective
stereoRole,mono
horizontalAperture,5.760000228881836
verticalAperture,3.240000009536743
clippingRange,"(1, 1000000)"
cameraProjectionType,fisheyeOrthographic
nominalWidth,1920.0
nominalHeight,1080.0
opticalCenterX,998.0842895507812
opticalCenterY,520.5062866210938
maxFOV,100.0
polyK0,0.9293811321258545
polyK1,0.15743136405944824
polyK2,0.008131147362291813
polyK3,1.358112096786499
polyK4,0.4388065040111542
polyK5,0.035474397242069244
p0,-1.8616799934534356e-05
p1,-0.000114203299744986
s0,0.0
s1,0.0
s2,0.0
s3,0.0
physicalDistortionCoefficients,Not Applicable
physicalDistortionModel,Not Applicable
