Device Name,Frame ID,Topic name
Front Hawk,front_stereo_camera_left_optical,"front_stereo_camera/left/image_raw
front_stereo_camera/left/camera_info"
Front Hawk,front_stereo_camera_right_optical,"front_stereo_camera/right/image_raw
front_stereo_camera/right/camera_info"
Front Hawk,front_stereo_camera_imu,/front_stereo_imu/imu
Front Hawk,front_stereo_camera_left,
Front Hawk,front_stereo_camera_right,
Front Hawk,front_stereo_camera,
Back Hawk,back_stereo_camera_left_optical,"back_stereo_camera/left/image_raw
back_stereo_camera/left/camera_info"
Back Hawk,back_stereo_camera_right_optical,"back_stereo_camera/right/image_raw
back_stereo_camera/right/camera_info"
Back Hawk,back_stereo_camera_imu,back_stereo_imu/imu
Back Hawk,back_stereo_camera_left,
Back Hawk,back_stereo_camera_right,
Back Hawk,back_stereo_camera,
Left Hawk,left_stereo_camera_left_optical,"left_stereo_camera/left/image_raw
left_stereo_camera/left/camera_info"
Left Hawk,left_stereo_camera_right_optical,"left_stereo_camera/right/image_raw
left_stereo_camera/right/camera_info"
Left Hawk,left_stereo_camera_imu,left_stereo_imu/imu
Left Hawk,left_stereo_camera_left,
Left Hawk,left_stereo_camera_right,
Left Hawk,left_stereo_camera,
Right Hawk,right_stereo_camera_left_optical,"right_stereo_camera/left/image_raw
right_stereo_camera/left/camera_info"
Right Hawk,right_stereo_camera_right_optical,"right_stereo_camera/right/image_raw
right_stereo_camera/right/camera_info"
Right Hawk,right_stereo_camera_imu,right_stereo_imu/imu
Right Hawk,right_stereo_camera_left,
Right Hawk,right_stereo_camera_right,
Right Hawk,right_stereo_camera,
Front RP lidar,front_2d_lidar,front_2d_lidar/scan
Back RP lidar,back_2d_lidar,back_2d_lidar/scan
XT 32,front_3d_lidar,front_3d_lidar/lidar_points
Front owl,front_fisheye_camera_optical,"front_fisheye_camera/left/image_raw
front_fisheye_camera/left/camera_info"
Front owl,front_fisheye_camera,
Back owl,back_fisheye_camera_optical,"back_fisheye_camera/left/image_raw
back_fisheye_camera/left/camera_info"
Back owl,back_fisheye_camera,
Left owl,left_fisheye_camera_optical,"left_fisheye_camera/left/image_raw
left_fisheye_camera/left/camera_info"
Left owl,left_fisheye_camera,
Right owl,right_fisheye_camera_optical,"right_fisheye_camera/left/image_raw
right_fisheye_camera/left/camera_info"
Right owl,right_fisheye_camera,
Chassis IMU,chassis_imu,/chassis/imu
Odometry,,/chassis/odom
TF,,/tf
