name,CameraLeft,CameraRight
focalLength,2.2079999446868896,2.2079999446868896
focusDistance,28.0,28.0
fStop,0.0,0.0
projection,perspective,perspective
stereoRole,left,right
horizontalAperture,5.760000228881836,5.760000228881836
verticalAperture,3.240000009536743,3.240000009536743
clippingRange,"(0.01, 100000)","(0.01, 100000)"
cameraProjectionType,pinhole,pinhole
nominalWidth,1936.0,1936.0
nominalHeight,1216.0,1216.0
opticalCenterX,970.94244,970.94244
opticalCenterY,600.37482,600.37482
maxFOV,200.0,200.0
polyK0,0.0,0.0
polyK1,0.00245,0.00245
polyK2,0.0,0.0
polyK3,0.0,0.0
polyK4,0.0,0.0
polyK5,0.0,0.0
p0,-0.00037,-0.00037
p1,-0.00074,-0.00074
s0,-0.00058,-0.00058
s1,-0.00022,-0.00022
s2,0.00019,0.00019
s3,-0.0002,-0.0002
physicalDistortionCoefficients,Not Applicable,Not Applicable
physicalDistortionModel,Not Applicable,Not Applicable
