name,version,license,license_normalized,location,classification,osrb_ticket
absl_py,2.4.0,Apache Software License,Apache,exts/isaacsim.pip.newton/pip_prebundle,allowed,
aioboto3,15.5.0,Apache Software License,Apache,exts/omni.pip.cloud/pip_prebundle,allowed,
awscrt,0.23.8,Apache Software License,Apache,exts/omni.pip.cloud/pip_prebundle,allowed,
azure_core,1.38.0,MIT License,MIT,exts/omni.pip.cloud/pip_prebundle,allowed,
azure_identity,1.13.0,MIT License,MIT,exts/omni.pip.cloud/pip_prebundle,allowed,
azure_storage_blob,12.17.0,MIT License,MIT,exts/omni.pip.cloud/pip_prebundle,allowed,
boto3,1.40.61,Apache-2.0,Apache-2.0,exts/omni.pip.cloud/pip_prebundle,allowed,
botocore,1.40.61,Apache-2.0,Apache-2.0,exts/omni.pip.cloud/pip_prebundle,allowed,
cbor2,5.9.0,Unknown,UNKNOWN,exts/isaacsim.pip.newton/pip_prebundle,unknown,
cmeel,0.60.1,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cmeel_assimp,6.0.5,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cmeel_boost,1.90.0,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cmeel_console_bridge,1.0.2.3,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cmeel_octomap,1.10.0,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cmeel_qhull,8.0.2.1,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cmeel_tinyxml2,11.0.0,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cmeel_urdfdom,6.0.0,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cmeel_zlib,1.3.2,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
coacd,1.0.7,MIT License,MIT,exts/isaacsim.pip.newton/pip_prebundle,allowed,
coal,3.0.3,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
cryptography,46.0.7,Unknown,UNKNOWN,exts/omni.pip.cloud/pip_prebundle,unknown,
cuda_bindings,12.9.2,Unknown,UNKNOWN,exts/isaacsim.ucx.core/pip_prebundle,unknown,
cuda_bindings,12.9.4,Unknown,UNKNOWN,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,unknown,
cuda_pathfinder,1.1.0,Unknown,UNKNOWN,exts/isaacsim.ucx.core/pip_prebundle,unknown,
cuda_python,12.9.2,Unknown,UNKNOWN,exts/isaacsim.ucx.core/pip_prebundle,unknown,
cumotion,1.1.0a2,Other/Proprietary License,Proprietary,exts/isaacsim.robot_motion.cumotion/pip_prebundle,unknown,
cupy_cuda12x,13.6.0,Unknown,UNKNOWN,exts/isaacsim.ucx.core/pip_prebundle,unknown,
daqp,0.8.5,MIT,MIT,exts/isaacsim.replicator.teleop/pip_prebundle,allowed,
eigenpy,3.13.0,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
etils,1.13.0,Apache Software License,Apache,exts/isaacsim.pip.newton/pip_prebundle,allowed,
fastrlock,0.8.3,MIT License,MIT,exts/isaacsim.ucx.core/pip_prebundle,allowed,
filelock,3.25.2,MIT License,MIT,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,allowed,
flatbuffers,22.12.6,Apache Software License,Apache,exts/isaacsim.ucx.core/pip_prebundle,allowed,
fonttools,4.61.1,MIT,MIT,exts/omni.isaac.core_archive/pip_prebundle,allowed,
fsspec,2026.2.0,Unknown,UNKNOWN,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,unknown,
glfw,2.10.0,MIT License,MIT,exts/isaacsim.pip.newton/pip_prebundle,allowed,
h5py,3.16.0,Unknown,UNKNOWN,exts/isaacsim.replicator.episode_recorder/pip_prebundle,unknown,
imageio,2.37.2,Unknown,UNKNOWN,exts/omni.pip.compute/pip_prebundle,unknown,
